node,java,backend,benchmark,score_ns_op,score_error_ns_op,confidence_low_ns_op,confidence_high_ns_op,jdk_version,vm_name,vm_version,warmup_iterations,measurement_iterations,measurement_time,threads,forks,raw_samples,overhead_ns_op,overhead_error_ns_op,score_multiplier,overhead_multiplier
1.16.5-paper,16,jvmti,leadTrail,209.84854275506854,1.1399586787288882,208.70858407633966,210.9885014337974,16.0.2,OpenJDK 64-Bit Server VM,16.0.2+7,3,7,500 ms,1,0,"[[209.83570320660286,209.40824836514386,210.8454076750235,210.03653343838369,209.56067658361349,209.3690842373256,209.88414577938676]]",209.4950918859855,1.1399714408137092,593.7134722556315,592.7134722556315
1.16.5-paper,16,jvmti,predicateTrue,121.31676112548867,1.7441792831885083,119.57258184230015,123.06094040867718,16.0.2,OpenJDK 64-Bit Server VM,16.0.2+7,3,7,500 ms,1,0,"[[121.0211658942982,120.72197428222154,120.6525023384201,122.54103000266109,121.18850602894989,122.28620197759057,120.80594735427925]]",120.96331025640562,1.7441876242438914,343.23514733523774,342.23514733523774
1.16.5-paper,16,jvmti,siteInvoke,169.5223589770182,2.8824003607521247,166.63995861626609,172.40475933777032,16.0.2,OpenJDK 64-Bit Server VM,16.0.2+7,3,7,500 ms,1,0,"[[172.0327771561397,169.923993519869,168.53017272578833,168.29570995896273,168.82117262195842,169.08869133313652,169.96399552327264]]",169.16890810793515,2.8824054080447374,479.620716216673,478.620716216673
1.16.5-paper,16,jvmti,spliceProceed,119.7867576041167,1.6434276339205862,118.14332997019612,121.43018523803728,16.0.2,OpenJDK 64-Bit Server VM,16.0.2+7,3,7,500 ms,1,0,"[[119.52518003119276,121.10203405768462,119.16672453764261,118.95091948879983,120.29072400691976,119.57139403164865,119.90032707492861]]",119.43330673503365,1.6434364863283848,338.90638864427393,337.90638864427393
1.20.6-paper,21,instrumentation,baseline,0.37193896892957007,0.0023864322201780246,0.36955253670939203,0.3743254011497481,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[0.3734953362804759,0.371555514597601,0.3724583531517514,0.3705331053192203,0.3712501507698825,0.3713138929216356,0.372966429466424]]",0.0,0.0033749248114598985,1.0,0.0
1.20.6-paper,21,instrumentation,lead,76.92669606371878,5.743666924292156,71.18302913942662,82.67036298801094,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[74.97277819309475,79.48370306723238,78.9414260196136,79.63654907773339,76.89658173114472,75.5488144486457,73.00701990856695]]",76.55475709478921,5.743667420060675,206.826126031138,205.826126031138
1.20.6-paper,21,instrumentation,leadTrail,183.28076877825637,12.871136861208454,170.40963191704793,196.15190563946481,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[195.10667445028216,183.8580917091348,178.85862659916475,180.39614986702978,184.0360474094281,178.09608706756657,182.6137043451886]]",182.9088298093268,12.871137082442162,492.7710836692732,491.77108366927314
1.20.6-paper,21,instrumentation,predicateTrue,84.60752544961876,1.5091966681809845,83.09832878143777,86.11672211779975,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[84.68227222220249,85.15736646304337,83.54123850759453,85.18800717966785,84.54768957575794,83.89514444549945,85.24095975356575]]",84.2355864806892,1.5091985549646296,227.47690486188324,226.47690486188327
1.20.6-paper,21,instrumentation,siteInvoke,142.49360997670018,1.978459502131167,140.51515047456903,144.47206947883134,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[143.15003654991665,143.56532956921862,140.92102432039977,142.3797161524532,142.6555188858899,142.90055398265918,141.8830903763641]]",142.1216710077706,1.9784609413965815,383.1101924780638,382.11019247806377
1.20.6-paper,21,instrumentation,spliceProceed,108.10584027090633,1.8764104161337156,106.22942985477262,109.98225068704004,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[109.01411727392495,107.1896711507381,108.37646310451812,108.83924068319304,108.33153675242322,106.75604353031429,108.23380940123246]]",107.73390130197676,1.8764119336739056,290.65478291245444,289.65478291245444
